Year,Crop,Tissue,Feature ID,Treatment,Mean,p-value,Pathway,Superclass,Class
2022,corn,leaf,1895,PP,16263.68,0.005550216,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,1905,AP,95088.62,0.010774448,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,1905,PP,76434.40,0.010774448,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,1934,AP,119210.36,0.000357337,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,1934,PP,91826.18,0.000357337,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,2035,AP,25071.56,0.000491993,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,2035,PP,20660.43,0.000491993,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,2050,AP,12507.79,0.018222632,Shikimates and Phenylpropanoids,Coumarins and derivatives,Simple coumarins
2022,corn,leaf,2050,PP,10596.80,0.018222632,Shikimates and Phenylpropanoids,Coumarins and derivatives,Simple coumarins
2022,corn,leaf,2054,AP,8953.54,0.015805523,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
2022,corn,leaf,2054,PP,7977.55,0.015805523,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
2022,corn,root,2108,AP,992.73,1.34031E-05,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,root,2108,PP,612.60,1.34031E-05,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,2108,AP,10394.28,2.75043E-05,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,2108,PP,7904.15,2.75043E-05,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,2156,AP,7558.77,2.37088E-06,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,2156,PP,5215.25,2.37088E-06,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,root,2161,AP,3122.73,4.10812E-05,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Chromones
2022,corn,root,2161,PP,1379.15,4.10812E-05,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Chromones
2022,corn,leaf,2161,AP,194961.41,7.69067E-07,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Chromones
2022,corn,leaf,2161,PP,158666.25,7.69067E-07,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Chromones
2022,corn,leaf,2237,AP,3683.15,0.002554071,Shikimates and Phenylpropanoids,Coumarins and derivatives,Simple coumarins
2022,corn,leaf,2237,PP,3008.48,0.002554071,Shikimates and Phenylpropanoids,Coumarins and derivatives,Simple coumarins
2022,corn,root,2283,AP,7606.38,5.41383E-05,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,root,2283,PP,3702.18,5.41383E-05,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,leaf,2283,AP,21492.62,1.90428E-05,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,leaf,2283,PP,16928.45,1.90428E-05,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,root,2296,AP,7817.20,0.021179558,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
2022,corn,root,2296,PP,10030.08,0.021179558,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
2022,corn,leaf,2296,AP,1172.82,0.044257967,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
2022,corn,leaf,2296,PP,929.53,0.044257967,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
2022,corn,leaf,2299,AP,609.92,0.049437876,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,leaf,2299,PP,560.58,0.049437876,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,leaf,2310,AP,2121.59,0.058244674,Unclassified,Unclasssified,Unclassified
2022,corn,leaf,2310,PP,2265.53,0.058244674,Unclassified,Unclasssified,Unclassified
2022,corn,root,2328,AP,1280.95,5.35905E-06,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,root,2328,PP,690.83,5.35905E-06,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,leaf,2328,AP,25147.85,2.07799E-07,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
